entry_date,status,skip_reason,signal_timestamp,entry_timestamp,signal_close,direction,entry_price_points,entry_sma_25,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_sma_25,points_pnl,rupees_pnl,remarks
2022-05-05,SKIPPED,insufficient_spot_history,,,,,,,,,,,,0.00,0.00,No entry signal had 25 completed SMA bars between 09:30 and 15:00.
2022-05-06,TRADED,,2022-05-06T09:15:00+05:30,2022-05-06T09:30:00+05:30,16439.9,SHORT,16439.9,16801.85,2022-05-06T14:15:00+05:30,2022-05-06T14:30:00+05:30,16462.75,stop_loss_ma_touch,16462.75,-22.85,-1485.25,
2022-05-06,TRADED,,2022-05-06T14:30:00+05:30,2022-05-06T14:45:00+05:30,16395.7,SHORT,16395.7,16438.67,2022-05-06T15:00:00+05:30,2022-05-06T15:15:00+05:30,16410.50,day_close,16414.85,-14.80,-962.00,
2022-05-09,TRADED,,2022-05-09T09:15:00+05:30,2022-05-09T09:30:00+05:30,16157.9,SHORT,16157.9,16394.33,2022-05-09T12:15:00+05:30,2022-05-09T12:30:00+05:30,16330.74,stop_loss_ma_touch,16330.74,-172.84,-11234.60,
2022-05-09,TRADED,,2022-05-09T12:30:00+05:30,2022-05-09T12:45:00+05:30,16391.2,LONG,16391.2,16328.82,2022-05-09T13:00:00+05:30,2022-05-09T13:15:00+05:30,16326.37,stop_loss_ma_touch,16326.37,-64.83,-4213.95,
2022-05-09,TRADED,,2022-05-09T13:15:00+05:30,2022-05-09T13:30:00+05:30,16326.1,LONG,16326.1,16320.65,2022-05-09T13:30:00+05:30,2022-05-09T13:45:00+05:30,16320.65,stop_loss_ma_touch,16320.65,-5.45,-354.25,
2022-05-09,TRADED,,2022-05-09T13:45:00+05:30,2022-05-09T14:00:00+05:30,16307.8,SHORT,16307.8,16313.78,2022-05-09T14:00:00+05:30,2022-05-09T14:15:00+05:30,16313.78,stop_loss_ma_touch,16313.78,-5.98,-388.70,
2022-05-09,TRADED,,2022-05-09T14:15:00+05:30,2022-05-09T14:30:00+05:30,16257.7,SHORT,16257.7,16299.28,2022-05-09T14:30:00+05:30,2022-05-09T14:45:00+05:30,16299.28,stop_loss_ma_touch,16299.28,-41.58,-2702.70,
2022-05-09,TRADED,,2022-05-09T14:45:00+05:30,2022-05-09T15:00:00+05:30,16328.8,LONG,16328.8,16294.70,2022-05-09T15:00:00+05:30,2022-05-09T15:15:00+05:30,16294.70,stop_loss_ma_touch,16294.70,-34.10,-2216.50,
2022-05-10,TRADED,,2022-05-10T09:15:00+05:30,2022-05-10T09:30:00+05:30,16315.0,LONG,16315.0,16291.63,2022-05-10T09:30:00+05:30,2022-05-10T09:45:00+05:30,16291.63,stop_loss_ma_touch,16291.63,-23.37,-1519.05,
2022-05-10,TRADED,,2022-05-10T09:45:00+05:30,2022-05-10T10:00:00+05:30,16279.2,SHORT,16279.2,16296.33,2022-05-10T10:00:00+05:30,2022-05-10T10:15:00+05:30,16296.33,stop_loss_ma_touch,16296.33,-17.13,-1113.45,
2022-05-10,TRADED,,2022-05-10T10:15:00+05:30,2022-05-10T10:30:00+05:30,16308.3,LONG,16308.3,16300.42,2022-05-10T10:30:00+05:30,2022-05-10T10:45:00+05:30,16300.42,stop_loss_ma_touch,16300.42,-7.88,-512.20,
2022-05-10,TRADED,,2022-05-10T10:45:00+05:30,2022-05-10T11:00:00+05:30,16316.0,LONG,16316.0,16307.47,2022-05-10T11:00:00+05:30,2022-05-10T11:15:00+05:30,16307.47,stop_loss_ma_touch,16307.47,-8.53,-554.45,
2022-05-10,TRADED,,2022-05-10T11:15:00+05:30,2022-05-10T11:30:00+05:30,16294.3,SHORT,16294.3,16312.75,2022-05-10T11:30:00+05:30,2022-05-10T11:45:00+05:30,16312.75,stop_loss_ma_touch,16312.75,-18.45,-1199.25,
2022-05-10,TRADED,,2022-05-10T11:45:00+05:30,2022-05-10T12:00:00+05:30,16354.9,LONG,16354.9,16314.98,2022-05-10T13:30:00+05:30,2022-05-10T13:45:00+05:30,16321.93,stop_loss_ma_touch,16321.93,-32.97,-2143.05,
2022-05-10,TRADED,,2022-05-10T13:45:00+05:30,2022-05-10T14:00:00+05:30,16328.5,LONG,16328.5,16322.69,2022-05-10T14:00:00+05:30,2022-05-10T14:15:00+05:30,16322.69,stop_loss_ma_touch,16322.69,-5.81,-377.65,
2022-05-10,TRADED,,2022-05-10T14:15:00+05:30,2022-05-10T14:30:00+05:30,16344.0,LONG,16344.0,16330.85,2022-05-10T14:45:00+05:30,2022-05-10T15:00:00+05:30,16331.25,stop_loss_ma_touch,16331.25,-12.75,-828.75,
2022-05-11,TRADED,,2022-05-11T09:15:00+05:30,2022-05-11T09:30:00+05:30,16306.2,SHORT,16306.2,16322.17,2022-05-11T14:00:00+05:30,2022-05-11T14:15:00+05:30,16163.44,stop_loss_ma_touch,16163.44,142.76,9279.40,
2022-05-11,TRADED,,2022-05-11T14:15:00+05:30,2022-05-11T14:30:00+05:30,16187.2,LONG,16187.2,16149.38,2022-05-11T14:30:00+05:30,2022-05-11T14:45:00+05:30,16149.38,stop_loss_ma_touch,16149.38,-37.82,-2458.30,
